# rho,Press,Temp,cool,heat,tcool
1e-07, 17.3452, 1.29956e10, 9.66872e-22, 0, 6.42584e22
1.02329e-07, 17.3452, 1.26998e10, 9.45597e-22, 0, 6.2747e22
1.04713e-07, 17.3452, 1.24107e10, 9.24805e-22, 0, 6.12701e22
1.07152e-07, 17.3452, 1.21282e10, 9.04487e-22, 0, 5.98268e22
1.09648e-07, 17.3452, 1.18521e10, 8.84632e-22, 0, 5.84166e22
1.12202e-07, 17.3452, 1.15823e10, 8.65229e-22, 0, 5.70385e22
1.14815e-07, 17.3452, 1.13187e10, 8.46267e-22, 0, 5.56918e22
1.1749e-07, 17.3452, 1.1061e10, 8.27737e-22, 0, 5.43759e22
1.20226e-07, 17.3452, 1.08093e10, 8.09628e-22, 0, 5.309e22
1.23027e-07, 17.3452, 1.05632e10, 7.91932e-22, 0, 5.18335e22
1.25893e-07, 17.3452, 1.03228e10, 7.74639e-22, 0, 5.06057e22
1.28825e-07, 17.3452, 1.00878e10, 7.57739e-22, 0, 4.94059e22
1.31826e-07, 17.3452, 9.85816e09, 7.41224e-22, 0, 4.82336e22
1.34896e-07, 17.3452, 9.63376e09, 7.25085e-22, 0, 4.7088e22
1.38038e-07, 17.3452, 9.41447e09, 7.09313e-22, 0, 4.59685e22
1.41254e-07, 17.3452, 9.20017e09, 6.939e-22, 0, 4.48747e22
1.44544e-07, 17.3452, 8.99075e09, 6.78838e-22, 0, 4.38059e22
1.47911e-07, 17.3452, 8.78609e09, 6.64119e-22, 0, 4.27615e22
1.51356e-07, 17.3452, 8.5861e09, 6.49735e-22, 0, 4.17409e22
1.54882e-07, 17.3452, 8.39065e09, 6.35679e-22, 0, 4.07437e22
1.58489e-07, 17.3452, 8.19966e09, 6.21942e-22, 0, 3.97694e22
1.62181e-07, 17.3452, 8.01301e09, 6.08518e-22, 0, 3.88173e22
1.65959e-07, 17.3452, 7.83061e09, 5.954e-22, 0, 3.7887e22
1.69824e-07, 17.3452, 7.65237e09, 5.8258e-22, 0, 3.6978e22
1.7378e-07, 17.3452, 7.47818e09, 5.70052e-22, 0, 3.60898e22
1.77828e-07, 17.3452, 7.30795e09, 5.57809e-22, 0, 3.52219e22
1.8197e-07, 17.3452, 7.14161e09, 5.45845e-22, 0, 3.43739e22
1.86209e-07, 17.3452, 6.97904e09, 5.34154e-22, 0, 3.35454e22
1.90546e-07, 17.3452, 6.82018e09, 5.22728e-22, 0, 3.27358e22
1.94984e-07, 17.3452, 6.66493e09, 5.11562e-22, 0, 3.19448e22
1.99526e-07, 17.3452, 6.51322e09, 5.00651e-22, 0, 3.11719e22
2.04174e-07, 17.3452, 6.36496e09, 4.89988e-22, 0, 3.04168e22
2.0893e-07, 17.3452, 6.22008e09, 4.79568e-22, 0, 2.9679e22
2.13796e-07, 17.3452, 6.07849e09, 4.69385e-22, 0, 2.89581e22
2.18776e-07, 17.3452, 5.94013e09, 4.59433e-22, 0, 2.82538e22
2.23872e-07, 17.3452, 5.80491e09, 4.49709e-22, 0, 2.75656e22
2.29087e-07, 17.3452, 5.67278e09, 4.40205e-22, 0, 2.68933e22
2.34423e-07, 17.3452, 5.54365e09, 4.30918e-22, 0, 2.62364e22
2.39883e-07, 17.3452, 5.41746e09, 4.21842e-22, 0, 2.55946e22
2.45471e-07, 17.3452, 5.29415e09, 4.12973e-22, 0, 2.49676e22
2.51189e-07, 17.3452, 5.17364e09, 4.04306e-22, 0, 2.4355e22
2.5704e-07, 17.3452, 5.05587e09, 3.95836e-22, 0, 2.37565e22
2.63027e-07, 17.3452, 4.94078e09, 3.87559e-22, 0, 2.31719e22
2.69153e-07, 17.3452, 4.82832e09, 3.7947e-22, 0, 2.26006e22
2.75423e-07, 17.3452, 4.71841e09, 3.71566e-22, 0, 2.20426e22
2.81838e-07, 17.3452, 4.61101e09, 3.63841e-22, 0, 2.14975e22
2.88403e-07, 17.3452, 4.50605e09, 3.56292e-22, 0, 2.09649e22
2.95121e-07, 17.3452, 4.40348e09, 3.48915e-22, 0, 2.04446e22
3.01995e-07, 17.3452, 4.30324e09, 3.41706e-22, 0, 1.99364e22
3.0903e-07, 17.3452, 4.20529e09, 3.34661e-22, 0, 1.94399e22
3.16228e-07, 17.3452, 4.10956e09, 3.27776e-22, 0, 1.89549e22
3.23594e-07, 17.3452, 4.01602e09, 3.21049e-22, 0, 1.84811e22
3.31131e-07, 17.3452, 3.9246e09, 3.14474e-22, 0, 1.80183e22
3.38844e-07, 17.3452, 3.83527e09, 3.08049e-22, 0, 1.75663e22
3.46737e-07, 17.3452, 3.74797e09, 3.0177e-22, 0, 1.71247e22
3.54813e-07, 17.3452, 3.66265e09, 2.95634e-22, 0, 1.66934e22
3.63078e-07, 17.3452, 3.57928e09, 2.89638e-22, 0, 1.62721e22
3.71535e-07, 17.3452, 3.49781e09, 2.83778e-22, 0, 1.58606e22
3.80189e-07, 17.3452, 3.41819e09, 2.78052e-22, 0, 1.54587e22
3.89045e-07, 17.3452, 3.34038e09, 2.72456e-22, 0, 1.50662e22
3.98107e-07, 17.3452, 3.26434e09, 2.66987e-22, 0, 1.46828e22
4.0738e-07, 17.3452, 3.19004e09, 2.61643e-22, 0, 1.43084e22
4.16869e-07, 17.3452, 3.11742e09, 2.5642e-22, 0, 1.39427e22
4.2658e-07, 17.3452, 3.04646e09, 2.51317e-22, 0, 1.35856e22
4.36516e-07, 17.3452, 2.97712e09, 2.46329e-22, 0, 1.32368e22
4.46684e-07, 17.3452, 2.90935e09, 2.41455e-22, 0, 1.28962e22
4.57088e-07, 17.3452, 2.84312e09, 2.36692e-22, 0, 1.25636e22
4.67735e-07, 17.3452, 2.77841e09, 2.32038e-22, 0, 1.22388e22
4.7863e-07, 17.3452, 2.71516e09, 2.27489e-22, 0, 1.19217e22
4.89779e-07, 17.3452, 2.65336e09, 2.23044e-22, 0, 1.1612e22
5.01187e-07, 17.3452, 2.59296e09, 2.187e-22, 0, 1.13097e22
5.12861e-07, 17.3452, 2.53394e09, 2.14455e-22, 0, 1.10144e22
5.24807e-07, 17.3452, 2.47626e09, 2.10307e-22, 0, 1.07262e22
5.37032e-07, 17.3452, 2.41989e09, 2.06253e-22, 0, 1.04448e22
5.49541e-07, 17.3452, 2.36481e09, 2.02291e-22, 0, 1.017e22
5.62341e-07, 17.3452, 2.31098e09, 1.98419e-22, 0, 9.9018e21
5.7544e-07, 17.3452, 2.25837e09, 1.94636e-22, 0, 9.63996e21
5.88844e-07, 17.3452, 2.20697e09, 1.90939e-22, 0, 9.38435e21
6.0256e-07, 17.3452, 2.15673e09, 1.87326e-22, 0, 9.13485e21
6.16595e-07, 17.3452, 2.10764e09, 1.83795e-22, 0, 8.8913e21
6.30957e-07, 17.3452, 2.05966e09, 1.80344e-22, 0, 8.65358e21
6.45654e-07, 17.3452, 2.01278e09, 1.76972e-22, 0, 8.42157e21
6.60693e-07, 17.3452, 1.96696e09, 1.73677e-22, 0, 8.19513e21
6.76083e-07, 17.3452, 1.92219e09, 1.70457e-22, 0, 7.97413e21
6.91831e-07, 17.3452, 1.87843e09, 1.6731e-22, 0, 7.75847e21
7.07946e-07, 17.3452, 1.83568e09, 1.64235e-22, 0, 7.54802e21
7.24436e-07, 17.3452, 1.79389e09, 1.6123e-22, 0, 7.34266e21
7.4131e-07, 17.3452, 1.75306e09, 1.58293e-22, 0, 7.14229e21
7.58578e-07, 17.3452, 1.71315e09, 1.55423e-22, 0, 6.94678e21
7.76247e-07, 17.3452, 1.67416e09, 1.52618e-22, 0, 6.75604e21
7.94328e-07, 17.3452, 1.63605e09, 1.49877e-22, 0, 6.56995e21
8.12831e-07, 17.3452, 1.59881e09, 1.47199e-22, 0, 6.38842e21
8.31764e-07, 17.3452, 1.56241e09, 1.44582e-22, 0, 6.21135e21
8.51138e-07, 17.3452, 1.52685e09, 1.42024e-22, 0, 6.03862e21
8.70964e-07, 17.3452, 1.49209e09, 1.39524e-22, 0, 5.87016e21
8.91251e-07, 17.3452, 1.45813e09, 1.37081e-22, 0, 5.70585e21
9.12011e-07, 17.3452, 1.42494e09, 1.34694e-22, 0, 5.54562e21
9.33254e-07, 17.3452, 1.3925e09, 1.32361e-22, 0, 5.38936e21
9.54993e-07, 17.3452, 1.3608e09, 1.30082e-22, 0, 5.237e21
9.77237e-07, 17.3452, 1.32983e09, 1.27854e-22, 0, 5.08844e21
1e-06, 17.3452, 1.29956e09, 1.25677e-22, 0, 4.94361e21
1.02329e-06, 17.3452, 1.26998e09, 1.23549e-22, 0, 4.80241e21
1.04713e-06, 17.3452, 1.24107e09, 1.2147e-22, 0, 4.66476e21
1.07152e-06, 17.3452, 1.21282e09, 1.19438e-22, 0, 4.5306e21
1.09648e-06, 17.3452, 1.18521e09, 1.17453e-22, 0, 4.39983e21
1.12202e-06, 17.3452, 1.15823e09, 1.15512e-22, 0, 4.27238e21
1.14815e-06, 17.3452, 1.13187e09, 1.13616e-22, 0, 4.14819e21
1.1749e-06, 17.3452, 1.1061e09, 1.11763e-22, 0, 4.02717e21
1.20226e-06, 17.3452, 1.08093e09, 1.09952e-22, 0, 3.90926e21
1.23027e-06, 17.3452, 1.05632e09, 1.08183e-22, 0, 3.79438e21
1.25893e-06, 17.3452, 1.03228e09, 1.06453e-22, 0, 3.68247e21
1.28825e-06, 17.3452, 1.00878e09, 1.04763e-22, 0, 3.57346e21
1.31826e-06, 17.3452, 9.85816e08, 1.03112e-22, 0, 3.46729e21
1.34896e-06, 17.3452, 9.63376e08, 1.01498e-22, 0, 3.36389e21
1.38038e-06, 17.3452, 9.41447e08, 9.99208e-23, 0, 3.26319e21
1.41254e-06, 17.3452, 9.20017e08, 9.83795e-23, 0, 3.16515e21
1.44544e-06, 17.3452, 8.99075e08, 9.68733e-23, 0, 3.06969e21
1.47911e-06, 17.3452, 8.78609e08, 9.54014e-23, 0, 2.97676e21
1.51356e-06, 17.3452, 8.5861e08, 9.3963e-23, 0, 2.8863e21
1.54882e-06, 17.3452, 8.39065e08, 9.25573e-23, 0, 2.79826e21
1.58489e-06, 17.3452, 8.19966e08, 9.11837e-23, 0, 2.71257e21
1.62181e-06, 17.3452, 8.01301e08, 8.98413e-23, 0, 2.62919e21
1.65959e-06, 17.3452, 7.83061e08, 8.85295e-23, 0, 2.54807e21
1.69824e-06, 17.3452, 7.65237e08, 8.72475e-23, 0, 2.46914e21
1.7378e-06, 17.3452, 7.47818e08, 8.59947e-23, 0, 2.39236e21
1.77828e-06, 17.3452, 7.30795e08, 8.47704e-23, 0, 2.31768e21
1.8197e-06, 17.3452, 7.14161e08, 8.3574e-23, 0, 2.24506e21
1.86209e-06, 17.3452, 6.97904e08, 8.24048e-23, 0, 2.17443e21
1.90546e-06, 17.3452, 6.82018e08, 8.12623e-23, 0, 2.10576e21
1.94984e-06, 17.3452, 6.66493e08, 8.01457e-23, 0, 2.03901e21
1.99526e-06, 17.3452, 6.51322e08, 7.90546e-23, 0, 1.97411e21
2.04174e-06, 17.3452, 6.36496e08, 7.79883e-23, 0, 1.91104e21
2.0893e-06, 17.3452, 6.22008e08, 7.69462e-23, 0, 1.84974e21
2.13796e-06, 17.3452, 6.07849e08, 7.59279e-23, 0, 1.79018e21
2.18776e-06, 17.3452, 5.94013e08, 7.49328e-23, 0, 1.73231e21
2.23872e-06, 17.3452, 5.80491e08, 7.39603e-23, 0, 1.6761e21
2.29087e-06, 17.3452, 5.67278e08, 7.301e-23, 0, 1.6215e21
2.34423e-06, 17.3452, 5.54365e08, 7.20813e-23, 0, 1.56847e21
2.39883e-06, 17.3452, 5.41746e08, 7.11737e-23, 0, 1.51698e21
2.45471e-06, 17.3452, 5.29415e08, 7.02868e-23, 0, 1.46698e21
2.51189e-06, 17.3452, 5.17364e08, 6.94201e-23, 0, 1.41845e21
2.5704e-06, 17.3452, 5.05587e08, 6.85731e-23, 0, 1.37134e21
2.63027e-06, 17.3452, 4.94078e08, 6.77454e-23, 0, 1.32562e21
2.69153e-06, 17.3452, 4.82832e08, 6.69365e-23, 0, 1.28126e21
2.75423e-06, 17.3452, 4.71841e08, 6.6146e-23, 0, 1.23821e21
2.81838e-06, 17.3452, 4.61101e08, 6.53736e-23, 0, 1.19646e21
2.88403e-06, 17.3452, 4.50605e08, 6.46187e-23, 0, 1.15595e21
2.95121e-06, 17.3452, 4.40348e08, 6.3881e-23, 0, 1.11668e21
3.01995e-06, 17.3452, 4.30324e08, 6.31601e-23, 0, 1.07859e21
3.0903e-06, 17.3452, 4.20529e08, 6.24556e-23, 0, 1.04166e21
3.16228e-06, 17.3452, 4.10956e08, 6.17671e-23, 0, 1.00587e21
3.23594e-06, 17.3452, 4.01602e08, 6.10943e-23, 0, 9.71176e20
3.31131e-06, 17.3452, 3.9246e08, 6.04369e-23, 0, 9.37555e20
3.38844e-06, 17.3452, 3.83527e08, 5.97943e-23, 0, 9.04979e20
3.46737e-06, 17.3452, 3.74797e08, 5.91665e-23, 0, 8.7342e20
3.54813e-06, 17.3452, 3.66265e08, 5.85529e-23, 0, 8.4285e20
3.63078e-06, 17.3452, 3.57928e08, 5.79532e-23, 0, 8.13244e20
3.71535e-06, 17.3452, 3.49781e08, 5.73673e-23, 0, 7.84575e20
3.80189e-06, 17.3452, 3.41819e08, 5.67946e-23, 0, 7.56818e20
3.89045e-06, 17.3452, 3.34038e08, 5.6235e-23, 0, 7.29948e20
3.98107e-06, 17.3452, 3.26434e08, 5.56882e-23, 0, 7.0394e20
4.0738e-06, 17.3452, 3.19004e08, 5.51537e-23, 0, 6.78772e20
4.16869e-06, 17.3452, 3.11742e08, 5.46408e-23, 0, 6.54307e20
4.2658e-06, 17.3452, 3.04646e08, 5.41393e-23, 0, 6.30646e20
4.36516e-06, 17.3452, 2.97712e08, 5.3643e-23, 0, 6.07835e20
4.46684e-06, 17.3452, 2.90935e08, 5.31512e-23, 0, 5.85849e20
4.57088e-06, 17.3452, 2.84312e08, 5.26639e-23, 0, 5.64658e20
4.67735e-06, 17.3452, 2.77841e08, 5.21811e-23, 0, 5.44234e20
4.7863e-06, 17.3452, 2.71516e08, 5.17027e-23, 0, 5.24549e20
4.89779e-06, 17.3452, 2.65336e08, 5.12287e-23, 0, 5.05575e20
5.01187e-06, 17.3452, 2.59296e08, 5.0759e-23, 0, 4.87288e20
5.12861e-06, 17.3452, 2.53394e08, 5.02936e-23, 0, 4.69662e20
5.24807e-06, 17.3452, 2.47626e08, 4.98325e-23, 0, 4.52674e20
5.37032e-06, 17.3452, 2.41989e08, 4.93757e-23, 0, 4.363e20
5.49541e-06, 17.3452, 2.36481e08, 4.8923e-23, 0, 4.20519e20
5.62341e-06, 17.3452, 2.31098e08, 4.84745e-23, 0, 4.05308e20
5.7544e-06, 17.3452, 2.25837e08, 4.803e-23, 0, 3.90648e20
5.88844e-06, 17.3452, 2.20697e08, 4.75897e-23, 0, 3.76518e20
6.0256e-06, 17.3452, 2.15673e08, 4.71534e-23, 0, 3.62899e20
6.16595e-06, 17.3452, 2.10764e08, 4.67211e-23, 0, 3.49773e20
6.30957e-06, 17.3452, 2.05966e08, 4.62927e-23, 0, 3.37121e20
6.45654e-06, 17.3452, 2.01278e08, 4.58683e-23, 0, 3.24927e20
6.60693e-06, 17.3452, 1.96696e08, 4.54478e-23, 0, 3.13174e20
6.76083e-06, 17.3452, 1.92219e08, 4.50311e-23, 0, 3.01846e20
6.91831e-06, 17.3452, 1.87843e08, 4.46183e-23, 0, 2.90928e20
7.07946e-06, 17.3452, 1.83568e08, 4.42092e-23, 0, 2.80405e20
7.24436e-06, 17.3452, 1.79389e08, 4.38039e-23, 0, 2.70262e20
7.4131e-06, 17.3452, 1.75306e08, 4.34023e-23, 0, 2.60487e20
7.58578e-06, 17.3452, 1.71315e08, 4.30044e-23, 0, 2.51065e20
7.76247e-06, 17.3452, 1.67416e08, 4.26101e-23, 0, 2.41983e20
7.94328e-06, 17.3452, 1.63605e08, 4.22195e-23, 0, 2.33231e20
8.12831e-06, 17.3452, 1.59881e08, 4.18324e-23, 0, 2.24795e20
8.31764e-06, 17.3452, 1.56241e08, 4.14489e-23, 0, 2.16663e20
8.51138e-06, 17.3452, 1.52685e08, 4.10689e-23, 0, 2.08827e20
8.70964e-06, 17.3452, 1.49209e08, 4.06924e-23, 0, 2.01273e20
8.91251e-06, 17.3452, 1.45813e08, 4.03193e-23, 0, 1.93993e20
9.12011e-06, 17.3452, 1.42494e08, 3.99496e-23, 0, 1.86976e20
9.33254e-06, 17.3452, 1.3925e08, 3.95834e-23, 0, 1.80213e20
9.54993e-06, 17.3452, 1.3608e08, 3.92205e-23, 0, 1.73694e20
9.77237e-06, 17.3452, 1.32983e08, 3.88609e-23, 0, 1.67412e20
1e-05, 17.3452, 1.29956e08, 3.85046e-23, 0, 1.61356e20
1.02329e-05, 17.3452, 1.26998e08, 3.81516e-23, 0, 1.5552e20
1.04713e-05, 17.3452, 1.24107e08, 3.78018e-23, 0, 1.49894e20
1.07152e-05, 17.3452, 1.21282e08, 3.74553e-23, 0, 1.44473e20
1.09648e-05, 17.3452, 1.18521e08, 3.71119e-23, 0, 1.39247e20
1.12202e-05, 17.3452, 1.15823e08, 3.67716e-23, 0, 1.3421e20
1.14815e-05, 17.3452, 1.13187e08, 3.64345e-23, 0, 1.29356e20
1.1749e-05, 17.3452, 1.1061e08, 3.61005e-23, 0, 1.24677e20
1.20226e-05, 17.3452, 1.08093e08, 3.57695e-23, 0, 1.20167e20
1.23027e-05, 17.3452, 1.05632e08, 3.54416e-23, 0, 1.15821e20
